Time (s),AccelX (g),AccelY (g),AccelZ (g)
18.1050,0.1367,0.0605,-0.3574
18.1300,0.1211,0.0371,-0.2988
18.1820,0.0977,0.2383,-0.3555
18.2070,-0.0996,0.1758,-1.1562
18.2340,0.9453,1.0742,-0.5898
18.2590,1.4824,-3.8965,-9.2148
18.2850,19.1934,-16.0684,-14.5137
18.3110,4.9258,-5.2324,-10.6543
18.3360,-0.5977,0.7676,-7.1641
18.3630,1.7422,3.5723,-5.0938
18.3880,0.4414,3.5996,-2.0215
18.4140,0.2852,3.1777,0.1074
18.4400,0.6973,1.5293,1.0449
18.4650,0.1133,-0.0547,0.8535
18.4920,-0.1348,-0.7734,0.2344
