Time (s),Pressure (MilliBar)
10.932,816.68
10.957,816.56
10.983,816.56
11.008,816.35
11.035,816.22
11.061,816.14
11.086,816.03
11.112,815.9
11.163,815.72
11.19,815.61
11.215,815.34
11.241,815.24
11.267,815.07
11.293,814.97
11.319,814.87
11.344,814.82
11.37,814.64
11.396,814.57
11.422,814.39
11.448,814.25
11.473,814.19
11.499,814.05
11.525,813.94
11.577,813.85
11.602,813.74
11.628,813.47
11.654,813.37
11.679,813.24
11.706,813.11
11.731,813.05
11.757,812.96
11.783,812.85
11.809,812.72
11.835,812.58
11.86,812.43
11.886,812.4
11.912,812.27
11.938,812.14
11.989,812.02
12.015,811.98
12.041,811.78
12.066,811.64
12.093,811.53
12.118,811.5
12.144,811.35
12.17,811.26
12.195,811.12
12.222,811.07
12.248,810.94
12.273,810.94
12.299,810.75
12.325,810.71
12.351,810.63
12.402,810.51
12.428,810.39
12.453,810.24
12.48,810.15
12.506,810.02
12.531,809.93
12.557,809.88
12.582,809.79
12.609,809.72
12.635,809.57
12.66,809.58
12.686,809.42
12.712,809.39
12.738,809.29
12.764,809.16
12.815,809.12
12.84,808.97
12.867,808.89
12.893,808.8
12.918,808.65
12.944,808.6
12.969,808.53
12.996,808.48
13.022,808.38
13.047,808.37
13.073,808.27
13.099,808.21
13.125,808.08
13.151,808.01
13.176,807.93
13.227,807.87
13.254,807.82
13.28,807.68
13.305,807.56
13.331,807.47
13.356,807.4
13.383,807.4
13.409,807.36
13.434,807.28
13.46,807.15
13.486,807.09
13.512,807.05
13.538,806.96
13.563,806.89
13.589,806.89
13.641,806.77
13.667,806.74
13.692,806.54
13.718,806.53
13.744,806.46
13.77,806.36
13.796,806.42
13.821,806.29
13.847,806.25
13.873,806.2
13.899,806.14
13.925,806.07
13.95,806.01
13.976,805.98
14.002,805.96
14.054,805.88
14.079,805.79
14.105,805.71
14.131,805.65
14.157,805.6
14.183,805.56
14.208,805.53
14.234,805.44
14.26,805.44
14.286,805.4
14.312,805.32
14.337,805.24
14.363,805.24
14.389,805.19
14.415,805.14
14.467,805.15
14.492,805.08
14.518,805
14.543,804.96
14.57,804.89
14.596,804.87
14.621,804.82
14.647,804.79
14.673,804.73
14.699,804.74
14.725,804.67
14.75,804.61
14.776,804.53
14.802,804.53
14.828,804.48
14.879,804.48
14.905,804.45
14.93,804.42
14.957,804.41
14.983,804.33
15.008,804.32
15.034,804.26
15.059,804.28
15.086,804.22
15.112,804.21
15.137,804.12
15.163,804.11
15.189,804.09
15.215,804.1
15.241,804.02
15.292,804.08
15.317,804.02
15.344,803.89
15.37,803.96
15.395,803.91
15.421,803.94
15.446,803.86
15.473,803.84
15.499,803.91
15.524,803.83
15.55,803.83
15.576,803.74
15.602,803.78
15.628,803.71
15.653,803.75
15.705,803.69
15.73,803.67
15.757,803.7
15.782,803.68
15.808,803.7
15.834,803.64
15.859,803.6
15.886,803.66
15.911,803.62
15.937,803.62
15.963,803.59
15.989,803.55
16.015,803.59
16.04,803.6
16.066,803.59
16.117,803.59
16.144,803.53
16.169,803.55
16.195,803.6
16.221,803.54
16.246,803.59
16.273,803.59
16.298,803.59
16.324,803.6
16.35,803.52
16.375,803.57
16.402,803.6
16.427,803.58
16.453,803.59
16.479,803.56
16.53,803.56
16.556,803.52
16.582,803.54
16.608,803.58
16.633,803.57
16.66,803.62
16.686,803.66
16.711,803.64
16.737,803.71
16.762,803.63
16.789,803.7
16.815,803.71
16.84,803.69
16.866,803.75
16.891,803.72
16.944,803.76
16.969,803.78
16.995,803.78
17.02,803.8
17.047,803.8
17.073,803.82
17.098,803.83
17.124,803.85
17.149,803.92
17.176,803.92
17.202,803.93
17.227,803.94
17.253,803.97
17.278,811.13
17.305,803.92
17.356,803.77
17.382,803.68
17.407,803.71
17.433,803.64
17.46,803.73
17.485,803.85
17.511,803.81
17.536,803.94
17.562,803.96
17.589,804
17.614,803.99
17.64,804.16
17.665,804.21
17.691,804.23
17.718,804.21
17.769,804.28
17.795,804.36
17.82,804.73
17.847,804.58
17.872,804.3
17.898,803.84
17.924,803.39
17.949,803.58
17.976,803.77
18.001,803.7
18.027,803.66
18.053,803.83
18.078,804.31
18.105,804.44
18.13,804.59
18.182,804.59
18.207,804.79
18.233,804.45
18.258,804.44
18.285,804.6
18.311,804.25
18.336,803.87
18.362,804.16
18.388,803.2
18.414,802.7
18.44,802.38
18.465,802.94
18.491,803.57
