Time (s),AccelX (g),AccelY (g),AccelZ (g)
3.5610,127.9141,1.3164,127.5508
3.5870,127.9453,1.3066,127.7031
3.6120,127.6602,1.2598,127.8496
3.6380,127.6992,1.2305,0.2148
3.6640,127.7910,1.2363,0.4648
3.6900,127.6738,1.3438,0.1309
3.7160,63.9980,63.9980,63.9980
3.7410,127.9043,1.3242,0.0195
3.7670,127.9316,1.3379,0.1465
3.7920,127.5918,1.5566,127.3574
3.8190,127.5078,1.6465,127.2695
3.8450,127.7656,1.3574,127.5020
3.8700,127.8223,1.1758,127.7207
3.8960,0.1094,1.0449,127.3867
3.9210,0.0820,1.1914,127.5977
3.9480,0.0566,1.3594,127.6445
3.9740,127.8418,1.4492,127.5898
3.9990,127.7539,1.4375,127.6191
4.0250,127.7812,1.2305,127.6777
4.0500,127.8555,1.1582,127.7168
4.0770,127.8652,1.2031,127.8086
4.1030,127.6836,1.2598,127.7754
4.1280,63.9980,63.9980,63.9980
4.1540,127.5820,1.3555,127.6465
4.1790,127.7988,1.1152,127.6367
4.2060,127.7773,1.0938,127.4961
4.2320,127.9492,1.1348,127.6133
4.2570,127.6348,1.2227,127.9805
4.2830,127.5781,1.2539,0.0781
4.3080,127.7070,1.0410,0.1113
4.3340,127.8613,1.1602,127.8086
4.3600,127.9180,1.1152,127.7285
4.3850,127.7461,1.0918,127.6602
4.4110,127.7227,1.0977,127.5605
4.4360,127.7148,1.1699,127.5547
4.4620,127.7637,1.0996,127.5098
4.4880,127.9199,1.0586,127.2285
4.5130,127.9004,0.9902,127.5449
4.5390,63.9980,63.9980,63.9980
4.5640,127.8145,1.0801,127.4082
4.5900,127.8613,1.1426,127.3340
4.6160,127.7871,1.1270,127.7266
4.6410,127.7305,0.9668,127.9512
4.6670,127.8789,0.9629,127.8008
4.6920,127.7422,1.1719,127.7188
4.7180,127.7578,1.1699,127.7891
4.7440,127.8281,1.0996,127.7676
4.7690,127.9375,1.0371,127.7305
4.7950,127.8652,1.0391,127.3945
4.8200,127.9707,1.0605,127.6113
4.8460,0.0547,0.9980,127.7812
4.8720,0.0664,0.8438,0.0098
4.8970,127.7891,0.9141,127.5586
4.9230,127.9043,0.8184,127.7539
4.9480,63.9980,63.9980,63.9980
4.9740,0.0840,0.8672,127.8633
5.0000,127.8789,0.8965,127.9336
5.0250,127.9297,0.8008,127.8281
5.0510,127.8574,0.7988,127.9668
5.0760,127.8125,0.8906,127.6348
5.1020,127.7930,0.9805,127.6348
5.1280,127.7012,1.1016,127.6816
5.1530,127.7285,1.0781,127.4883
5.1790,127.9180,0.8711,127.8145
5.2040,127.9004,0.8535,127.7793
5.2300,127.9082,0.9238,127.8594
5.2560,127.8164,0.9668,127.8672
5.2810,127.9062,0.8945,127.7754
5.3070,127.9805,0.7363,127.7246
5.3320,127.8320,0.7812,127.7305
5.3580,63.9980,63.9980,63.9980
5.3840,127.6641,0.8730,0.1738
5.4090,127.6016,0.9414,0.2891
5.4360,127.7168,0.9980,127.7559
5.4610,127.8438,0.9238,127.7129
5.4870,127.8965,0.8633,127.8457
5.5130,127.7520,0.7617,127.8066
5.5380,127.7051,0.8848,127.5918
5.5650,127.6328,0.8867,127.6738
5.5900,127.7480,0.8418,127.7500
5.6160,127.8652,0.8184,127.5137
5.6420,127.8320,0.9219,0.0312
5.6670,127.9102,0.8613,127.9453
5.6940,127.9316,0.8379,127.8164
5.7200,0.0273,0.7891,0.0137
5.7450,127.8555,0.9688,0.0352
5.7710,63.9980,63.9980,63.9980
5.7960,127.8535,0.7852,127.9180
5.8220,127.8867,0.7520,127.9316
5.8490,127.7520,0.8652,127.6758
5.8740,127.8438,0.7109,127.6543
5.9000,127.6895,0.8086,127.7324
5.9250,127.8906,0.8262,127.9277
5.9520,127.9961,0.7266,127.8418
5.9780,127.9961,0.7285,127.7773
6.0030,0.0078,0.6484,127.8184
6.0290,127.8711,0.7168,127.7051
6.0540,127.8711,0.7637,127.7617
6.0810,127.9824,0.8145,127.7852
6.1070,127.8594,0.7539,127.5234
6.1320,127.8145,0.7402,127.5879
6.1580,127.8105,0.7715,127.8066
6.1830,63.9980,63.9980,63.9980
6.2090,127.8457,0.7676,127.8301
6.2360,127.8027,0.7988,127.9238
6.2610,127.9668,0.6875,0.0215
6.2870,0.0039,0.5332,127.8965
6.3120,0.0098,0.6211,127.7871
6.3390,127.7969,0.7324,127.5449
6.3650,127.8809,0.6074,127.5840
6.3900,127.7793,0.6367,127.5820
6.4160,127.7832,0.6504,127.7285
6.4410,127.8047,0.6895,127.7773
6.4680,0.0723,0.6738,0.0742
6.4940,127.9531,0.6191,0.1172
6.5190,127.8613,0.5977,0.0547
6.5450,127.8242,0.6758,127.9355
6.5700,127.9199,0.6543,127.9258
6.5960,63.9980,63.9980,63.9980
6.6230,127.9844,0.6348,127.9473
6.6480,0.0195,0.6348,127.9805
6.6740,127.9180,0.6543,127.6543
6.6990,127.8438,0.7168,127.6348
6.7250,127.7969,0.6797,127.7500
6.7520,127.8516,0.6738,127.7949
6.7770,127.7539,0.6523,127.8379
6.8030,127.7734,0.6016,127.9453
6.8280,127.8848,0.5234,127.7715
6.8550,127.7461,0.5938,127.6680
6.8810,127.7363,0.6035,127.6582
6.9060,127.9160,0.5977,127.8691
6.9320,127.8027,0.5938,127.8496
6.9580,127.6934,0.6074,127.8320
6.9840,127.6953,0.6582,127.8027
7.0100,63.9980,63.9980,63.9980
7.0350,127.9121,0.5234,127.9082
7.0610,127.9160,0.4922,127.9531
7.0870,127.9570,0.5352,127.8359
7.1120,127.7695,0.6367,127.8359
7.1390,127.8691,0.6289,127.9199
7.1640,127.8926,0.5605,127.8770
7.1900,127.9121,0.5586,127.8633
7.2160,127.8105,0.5527,127.8145
7.2410,127.8438,0.4922,127.8691
7.2680,127.8652,0.4883,127.8340
7.2930,127.8594,0.5742,127.7461
7.3190,127.8633,0.5684,127.7734
7.3450,127.8516,0.5371,127.7891
7.3710,127.9551,0.5000,127.8906
7.3970,127.8652,0.4902,127.8281
7.4220,63.9980,63.9980,63.9980
7.4480,127.8281,0.5137,127.8008
7.4740,127.8633,0.4941,127.7695
7.4990,127.9824,0.5469,127.8730
7.5260,127.9863,0.5449,127.8770
7.5510,0.0645,0.4102,127.9082
7.5770,0.0547,0.4609,127.9688
7.6030,127.9961,0.5176,0.0371
7.6280,0.0293,0.5098,0.0195
7.6550,127.9727,0.5039,127.8867
7.6800,127.8965,0.4922,127.8789
7.7060,127.8359,0.4453,127.8809
7.7320,127.9141,0.4395,127.9844
7.7570,127.8574,0.4531,127.9199
7.7840,127.8301,0.4141,127.8203
7.8090,127.8613,0.3828,127.8555
7.8350,63.9980,63.9980,63.9980
7.8610,127.8457,0.5059,127.9297
7.8860,127.8242,0.5352,127.8555
7.9130,127.9336,0.4512,127.8965
7.9390,127.9395,0.4043,127.8262
7.9640,0.0273,0.4082,127.8047
7.9900,0.0273,0.4746,127.8457
8.0150,127.9434,0.4316,127.9609
8.0420,127.9102,0.4258,127.8086
8.0680,127.9336,0.4043,127.8086
8.0930,127.8809,0.4434,127.8535
8.1190,127.8809,0.4727,127.8457
8.1450,127.9531,0.4336,127.8770
8.1710,127.9746,0.3926,127.8965
8.1970,127.8906,0.3809,127.8789
8.2220,127.8672,0.3984,127.9004
8.2480,63.9980,63.9980,63.9980
8.2730,127.9219,0.4004,127.9648
8.3000,127.9199,0.4004,127.8633
8.3260,127.9375,0.4512,127.8652
8.3510,127.9160,0.4141,127.9004
8.3770,127.8984,0.3457,127.9062
8.4020,127.9316,0.3398,127.8652
8.4290,127.9395,0.3496,127.8574
8.4550,127.8809,0.4336,127.7461
8.4800,127.8633,0.4219,127.8281
8.5060,127.8418,0.3691,127.8438
8.5310,127.8711,0.3555,127.7734
8.5580,127.8555,0.3672,127.8066
8.5840,127.8574,0.3867,127.8301
8.6090,127.8555,0.4082,127.8027
8.6350,127.8438,0.3926,127.7559
8.6600,63.9980,63.9980,63.9980
8.6860,127.8340,0.4160,127.8457
8.7130,127.8535,0.3965,127.8359
8.7380,127.8984,0.3789,127.8516
8.7640,127.9062,0.3379,127.8555
8.7890,127.8340,0.3516,127.8535
8.8160,127.8809,0.2949,127.8691
8.8420,127.8613,0.2891,0.0078
8.8670,127.8730,0.2988,127.9961
8.8930,127.8789,0.3242,127.9590
8.9180,127.9141,0.3594,127.8750
8.9450,127.8984,0.3730,127.8750
8.9710,127.8555,0.3633,127.8301
8.9960,127.8516,0.3613,127.8223
9.0220,127.8945,0.3203,127.9414
9.0480,127.9219,0.3066,127.8828
9.0730,63.9980,63.9980,63.9980
9.1000,127.9551,0.3047,127.8145
9.1250,127.9023,0.3242,127.8516
9.1510,127.9082,0.2871,127.9746
9.1770,127.8887,0.2871,127.9258
9.2030,127.9121,0.2578,127.9160
9.2290,127.9141,0.3086,127.9004
9.2540,127.8887,0.3164,127.8984
9.2800,127.8809,0.2793,127.8887
9.3060,127.9043,0.2852,127.9336
9.3320,127.9160,0.3105,127.9844
9.3580,127.9043,0.3184,127.9629
9.3830,127.9453,0.2695,127.8887
9.4090,127.9023,0.2715,127.9297
9.4350,127.9375,0.2754,127.9746
9.4610,127.8848,0.3223,127.9004
9.4870,63.9980,63.9980,63.9980
9.5120,127.8906,0.3184,127.9160
9.5380,127.8906,0.3281,127.8848
9.5640,127.8887,0.2773,127.8730
9.5900,127.8730,0.2910,127.8906
9.6160,127.8945,0.2988,127.9414
9.6410,127.8750,0.2871,127.9141
9.6670,127.8906,0.2852,127.9023
9.6930,127.8906,0.2910,127.8652
9.7190,127.8965,0.2734,127.8418
9.7450,127.8555,0.2949,127.9199
9.7700,127.8652,0.2930,127.9355
9.7960,127.8750,0.3008,127.9238
9.8220,127.8926,0.2852,127.8691
9.8480,127.9004,0.2617,127.8926
9.8740,127.8867,0.2617,127.8965
9.8990,63.9980,63.9980,63.9980
9.9250,127.8691,0.2773,127.8594
9.9510,127.9492,0.2910,127.8711
9.9770,127.8555,0.3047,127.8242
10.0030,127.9023,0.2676,127.9023
10.0280,127.9219,0.2598,127.9102
10.0540,127.9082,0.2617,127.9414
10.0800,127.8867,0.2793,127.9414
10.1060,127.8633,0.2910,127.9551
10.1320,127.8711,0.2793,127.9785
10.1580,127.8945,0.2617,127.9785
10.1830,127.8633,0.2617,127.9355
10.2090,127.9102,0.2500,127.9219
10.2350,127.9512,0.2402,127.9199
10.2610,127.9180,0.2500,127.8945
10.2870,127.9434,0.2305,127.9590
