Time (s),AccelX (g),AccelY (g),AccelZ (g)
17.8470,126.8027,10.3906,0.1484
17.8720,126.7715,9.2695,0.0020
17.8980,127.1621,8.0234,127.5371
17.9240,127.5586,5.7070,127.0996
17.9500,127.8711,4.7031,126.5273
17.9760,0.0449,3.9355,126.1426
18.0010,127.9199,2.1895,126.6055
18.0270,127.9355,1.1895,127.0410
18.0530,0.0488,0.6230,127.3027
18.0790,127.9922,0.2344,127.9941
18.1050,0.1367,0.0605,127.6426
18.1300,0.1211,0.0371,127.7012
18.1560,63.9980,63.9980,63.9980
18.1820,0.0977,0.2383,127.6445
18.2070,127.9004,0.1758,126.8438
18.2340,0.9453,1.0742,127.4102
18.2590,1.4824,124.1035,118.7852
18.2850,19.1934,111.9316,113.4863
18.3110,4.9258,122.7676,117.3457
18.3360,127.4023,0.7676,120.8359
18.3630,1.7422,3.5723,122.9062
18.3880,0.4414,3.5996,125.9785
18.4140,0.2852,3.1777,0.1074
18.4400,0.6973,1.5293,1.0449
18.4650,0.1133,127.9453,0.8535
18.4920,127.8652,127.2266,0.2344
